1,@USER RETURNED ABOUT TAKING,OFF,NOT_HS,NOT_VLG,NOT_VIO
2,THE GROCERY FLUTTERS ARE A HEALTH FOOD URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
3,"MY SOUL @USER FOR HIS MAIL CASTS A GREAT DEAL OF SUSPICION, BUT YOUR UNIFORM IS ENGRAVED AND SCATTERED WITH DEPRESSION AND PORTRAYED BY GOD",OFF,NOT_HS,NOT_VLG,NOT_VIO
4,I DON'T KNOW WHAT TO DO,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
5,"Today. It says, ""90% Muslims have an aunt named Hope."" Or his uncle's hope or an illusion. Or a wife of hope. Or a hopeful girl. Or hopeful protector. And I have nothing to hope for. In the family, he's reviewing himself because he's a normal mo. Any sunset in it is one of the happiest boats. So you only have her name, hope, send her to her",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
6,"OH, THANK GOD",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
7,♪,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8,"""THE CLYGA THAT LAUGHS AT THIS PIECE MAKES ME SICK, COOKED TO REPRESENT ME.""",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9,Allah's salvation is bothering you with the clash,OFF,NOT_HS,NOT_VLG,NOT_VIO
10,@USER KILLING AND A NEVER LIKE MY FEEL,OFF,NOT_HS,NOT_VLG,NOT_VIO
11,I'M TIRED OF BEING RETARDED AND RETROGRADED UNTIL ALL THE KOOL KIPPI YANS WROTE ABOUT MY HIGHNESS,OFF,NOT_HS,NOT_VLG,NOT_VIO
12,"@USER, WHO'S HONEST, WHO'S CLAIMING TO LIBERATE THE CORALS AND ACCUSING THEM OF ADULTERY AND WHAT WE CALL AN DEVELOPER MUSLIM? BUT GOD'S WHITE FACE IS RIGHT AND WHAT HE SAID IS RIGHT, COW",OFF,HS2,NOT_VLG,NOT_VIO
13,♪,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
14,"_ GOD HONOR THE READERS. AND REMEMBER WELL THAT THEY'RE ALWAYS AND NEVER READY TO MEET THE PROMISE OF LUCIFER. ""APPLES SAYS: ""ALM.""",OFF,NOT_HS,NOT_VLG,NOT_VIO
